Scenario - 
Logfile written - 11/21/2019 13:44:22

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

74	10	Response	1	4357973	289463	1
74	10	Response	2	4359493	290983	1
74	10	Response	1	4391891	323381	0
74	10	Response	2	4393411	324901	1
74	10	Response	1	4418290	349780	1
74	10	Response	2	4419490	350980	1
74	10	Response	1	4427090	358580	0
74	10	Response	2	4428210	359700	1
74	10	Response	1	4442370	373859	0
74	10	Response	2	4443729	375219	0
74	10	Response	1	4451570	383060	0
74	10	Response	2	4453329	384819	0
74	10	Response	1	4481808	413298	1
74	10	Response	2	4483008	414498	1
74	10	Response	1	4495168	426658	0
74	10	Response	2	4496608	428098	0
74	10	Response	1	4522447	453937	0
74	10	Response	2	4523567	455057	0
74	10	Response	1	4539406	470896	0
74	10	Response	2	4540687	472177	1
74	10	Response	1	4563726	495216	0
74	10	Response	2	4564605	496095	1
74	10	Response	1	4583085	514575	1
74	10	Response	2	4584125	515615	0
74	10	Response	1	4603805	535295	0
74	10	Response	2	4605244	536734	0
74	11	Response	4	4685992	79857	0
74	12	Picture	Start_fixation	4686129	0	7	80161	13	0	next	other	0
74	12	Picture	Start_basket	4766289	80161	7	79994	7	80000	next	other	0
74	12	Response	1	4870836	184707	1
74	12	Response	2	4872196	186067	0
74	12	Response	1	4891395	205266	0
74	12	Response	2	4893075	206946	0
74	13	Picture	Start_fixation	4894779	0	7	80161	13	0	next	other	0
74	13	Picture	A	4974940	80161	7	79994	7	80000	next	other	0
74	13	Response	1	5084510	189730	1
74	13	Response	2	5086189	191410	0
74	13	Response	1	5102989	208210	0
74	13	Response	2	5104588	209809	0
74	14	Picture	Start_fixation	5106429	0	7	80160	13	0	next	other	0
74	14	Picture	C	5186590	80160	7	79994	7	80000	next	other	0
74	14	Response	1	5290182	183753	0
74	14	Response	2	5291862	185433	0
74	14	Response	1	5307302	200873	0
74	14	Response	2	5308982	202552	0
74	15	Picture	Start_fixation	5310747	0	7	80160	13	0	next	other	0
74	15	Picture	D	5390907	80160	7	79994	7	80000	next	other	0
74	15	Response	1	5500575	189829	0
74	15	Response	2	5502495	191748	1
74	15	Response	1	5518895	208148	1
74	15	Response	2	5520415	209668	0
74	16	Picture	Start_fixation	5522730	0	7	80160	13	0	next	other	0
74	16	Picture	B	5602891	80160	7	79994	7	80000	next	other	0
74	16	Response	1	5710089	187358	1
74	16	Response	2	5711769	189038	0
74	16	Response	1	5726009	203279	1
74	16	Response	2	5727688	204958	0
74	17	Picture	Start_fixation	5729381	0	7	80160	14	0	next	other	0
74	17	Picture	E	5809541	80160	7	79994	7	80000	next	other	0
74	17	Response	1	5916082	186701	0
74	17	Response	2	5917601	188220	1
74	17	Response	1	5933282	203901	0
74	17	Response	2	5934720	205340	1
74	18	Picture	Start_fixation	5936698	0	7	80160	13	0	next	other	0
74	18	Picture	F	6016858	80160	7	79994	7	80000	next	other	0
74	18	Response	1	6120395	183698	0
74	18	Response	2	6122316	185618	1
74	18	Response	1	6139995	203298	1
74	18	Response	2	6141675	204977	0
74	19	Response	4	6181784	39436	0
74	20	Picture	M	6268005	80160	7	79994	7	80000	next	other	0
74	20	Response	1	6433185	245341	0
74	20	Response	2	6434945	247101	0
74	20	Response	1	6551902	364057	0
74	20	Response	2	6553261	365416	0
74	21	Picture	J	6647642	80160	7	79994	7	80000	next	other	0
74	21	Response	1	6769334	201853	1
74	21	Response	2	6770854	203373	0
74	21	Response	1	6821973	254491	1
74	21	Response	2	6823253	255771	0
