Scenario - 
Logfile written - 11/09/2019 16:12:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

20	7	Response	2	4719346	377595	0
20	7	Response	1	4725827	384076	0
20	7	Response	2	4730227	388476	0
20	7	Response	1	4761268	419516	0
20	7	Response	2	4771587	429836	0
20	7	Response	1	4790548	448796	0
20	7	Response	2	4799268	457516	0
20	7	Response	1	4814948	473196	0
20	7	Response	2	4822227	480476	0
20	7	Response	1	4833027	491276	0
20	7	Response	2	4834067	492316	0
20	7	Response	1	4863828	522076	0
20	7	Response	2	4873268	531516	0
20	7	Response	1	4896228	554476	0
20	7	Response	2	4919187	577436	0
20	7	Response	1	4934067	592316	0
20	7	Response	2	4945907	604156	0
20	7	Response	1	4974147	632395	0
20	7	Response	2	4980947	639196	0
20	7	Response	1	4998467	656715	0
20	7	Response	2	5008149	666398	0
20	7	Response	1	5027427	685676	0
20	7	Response	2	5036547	694796	0
20	7	Response	1	5061273	719522	0
20	7	Response	2	5071107	729356	0
20	7	Response	1	5086228	744476	0
20	7	Response	2	5087107	745356	0
20	8	Video	Whales_1min	5140501	51785	1			0		other	0
20	9	Response	4	5776270	40662	0
20	10	Response	1	6023427	247024	0
20	10	Response	2	6049027	272624	0
20	10	Response	1	6069107	292704	0
20	10	Response	2	6078153	301750	0
20	10	Response	1	6095347	318944	0
20	10	Response	2	6104067	327664	0
20	10	Response	1	6120467	344064	0
20	10	Response	2	6131107	354704	0
20	10	Response	1	6149347	372944	0
20	10	Response	2	6158707	382305	0
20	10	Response	1	6180708	404305	0
20	10	Response	2	6192947	416544	0
20	10	Response	1	6209747	433344	0
20	10	Response	2	6210787	434384	0
20	10	Response	1	6240303	463901	4
20	10	Response	2	6253507	477104	0
20	10	Response	1	6282467	506064	0
20	10	Response	2	6300386	523983	0
20	10	Response	1	6314547	538144	0
20	10	Response	2	6318947	542544	0
20	10	Response	1	6361427	585024	0
20	10	Response	2	6370547	594144	0
20	10	Response	1	6382228	605825	0
20	10	Response	2	6390867	614464	0
20	10	Response	1	6410227	633824	0
20	10	Response	2	6419187	642784	0
20	10	Response	1	6435587	659184	0
20	10	Response	2	6445027	668624	0
20	10	Response	1	6460227	683824	0
20	10	Response	2	6467907	691504	0
20	10	Response	1	6484707	708304	0
20	10	Response	2	6485827	709424	0
20	11	Response	4	6595298	108230	0
20	12	Picture	Start_fixation	6595466	0	3	80091	6	0	next	other	0
20	12	Picture	Start_basket	6675558	80091	4	80091	4	80000	next	other	0
